"scientific_name","BCR","slope","lower_CI","upper_CI","intercept","adj_r2","Trend"
"Dryobates pubescens",35,-0.0466549295774644,-0.114025754597225,0.0207158954422967,94.8644366197175,0.49090375586857,"Stable"
"Dryobates pubescens",37,0.00787204171680715,-0.0401618503954421,0.0559059338290564,-13.0120838347375,-0.0367246059279482,"Stable"
"Dryobates scalaris",18,0.0178499799438428,-0.00489755300153029,0.040597512889216,-33.8331327717611,0.060959187015634,"Stable"
"Dryobates scalaris",19,0.0279281989570797,-0.0115289873450475,0.0673853852592069,-53.2403229041314,0.0433946129652956,"Stable"
"Dryobates scalaris",20,0.0248194945848376,-0.0306475847378909,0.0802865739075661,-45.5699458483756,-0.00591931500379839,"Stable"
"Dryobates scalaris",21,0.0187023666265539,-0.0270309520485906,0.0644356853016984,-33.8153329322093,-0.0116391927009967,"Stable"
"Dryobates scalaris",35,0.00601684717208173,-0.0209602228860357,0.0329939172301991,-9.6684717208181,-0.0325502315574522,"Stable"
"Dryobates scalaris",36,0.0533493782591254,-0.00963249561731782,0.116331252135569,-102.327115924589,0.0760027746013865,"Stable"
"Dryobates scalaris",37,-0.0526975531488174,-0.125959189295713,0.0205640829980787,110.017198154835,0.0459458497206523,"Stable"
"Dryobates villosus",18,-0.0599303135888516,-0.161447096162546,0.0415864689848429,123.26829268293,0.0212320883656332,"Stable"
"Dryobates villosus",19,-0.0253208985158444,-0.0497778916276385,-0.000863905404050378,52.5006518251104,0.124831429042987,"Stable"
"Dryobates villosus",21,-0.00413540103385013,-0.0377236222859507,0.0294528202182505,9.67146906786702,-0.0465485306755944,"Stable"
"Dryobates villosus",25,-0.00471319695146431,-0.031736243238853,0.0223098493359244,11.0486361813081,-0.0360727207899287,"Stable"
"Dryobates villosus",35,-0.0693943040513441,-0.186232103622526,0.047443495519838,143.609707180105,0.019709686098581,"Stable"
"Dryobates villosus",37,-0.0314975480950559,-0.116513367483328,0.0535182712932165,65.104300264046,-0.0263452833473641,"Stable"
"Dryocopus pileatus",19,0.0546762589928065,0.0154982350264049,0.0938542829592081,-108.873381294966,0.412775234357973,"Increasing"
"Dryocopus pileatus",21,0.0263738467709586,0.00402454862041527,0.0487231449215019,-51.1551343762533,0.164771479189347,"Stable"
"Dryocopus pileatus",25,-0.0310369033293224,-0.0641604837480484,0.0020866770894036,66.4106999598883,0.0987707833395507,"Stable"
"Dryocopus pileatus",37,-0.00757119935820292,-0.0606728566685555,0.0455304579521496,17.7536602486963,-0.0379217403593797,"Stable"
"Dumetella carolinensis",18,-2.51139351701482e-17,-6.07963609939418e-17,1.05684906536454e-17,1.00000000000005,0.443578795798389,"Stable"
"Dumetella carolinensis",19,0.0507420778178904,0.0163840194473624,0.0851001361884183,-98.5874448455681,0.249043154164996,"Increasing"
"Dumetella carolinensis",21,-0.0540785498489419,-0.100091643025333,-0.00806545667255094,110.141087613292,0.280086527717197,"Decreasing"
"Dumetella carolinensis",25,0.0266746891295627,-0.00809021011175371,0.0614395883708792,-51.9135579622943,0.0568814903953283,"Stable"
"Dumetella carolinensis",35,NA,NA,NA,NA,NA,NA
"Dumetella carolinensis",37,-0.0281585772508348,-0.153504912668035,0.0971877581663654,58.2486105965195,-0.0621285510743201,"Stable"
"Egretta caerulea",18,NA,NA,NA,NA,NA,NA
"Egretta caerulea",19,-0.112815884476535,-0.239175325304281,0.0135435563512115,229.408844765344,0.0874408671428444,"Stable"
"Egretta caerulea",21,-0.0586141195346973,-0.115800617849686,-0.00142762121970848,121.099528680305,0.122037236563601,"Decreasing"
"Egretta caerulea",25,-0.201915363016447,-0.26013568121036,-0.143695044822533,409.695296831128,0.667707606493603,"Decreasing"
"Egretta caerulea",36,-0.0542168674698804,-0.12302221270515,0.0145884777653894,110.593975903616,0.119379374260971,"Stable"
"Egretta caerulea",37,-0.0787204171680683,-0.497282463921104,0.339841629584967,174.120838347368,-0.035167894216207,"Stable"
"Egretta rufescens",18,NA,NA,NA,NA,NA,NA
"Egretta rufescens",37,-0.0351660121385232,-0.0916963172981349,0.0213642930210886,72.799892895397,0.0280743890169135,"Stable"
"Egretta thula",18,0.0944787379972583,-0.0406873799076604,0.229644855902177,-187.407407407411,0.102255230562107,"Stable"
"Egretta thula",19,0.266843598906876,-0.0588017944149427,0.592488992228694,-531.816875131389,0.0724075586699637,"Stable"
"Egretta thula",20,NA,NA,NA,NA,NA,NA
"Egretta thula",21,0.0501403931006818,-0.061473648855745,0.161754435057109,-98.0705976734855,-0.00564626932422319,"Stable"
"Egretta thula",25,-0.236512832450681,-0.432595421397203,-0.0404302435041587,479.222661933312,0.178813170924969,"Decreasing"
"Egretta thula",35,-0.14359488207185,-0.764835833312985,0.477646069169286,298.424078927113,-0.037935439554821,"Stable"
