"scientific_name","StateNum","slope","lower_CI","upper_CI","Adj_R2","Trend"
"Sitta pygmaea",83,NA,NA,NA,NA,NA
"Spatula clypeata",83,0.137132173630305,-0.0321803673459678,0.306444714606577,0.0907123743426859,"Stable"
"Spatula cyanoptera",83,0.0024225023552106,-0.123257548074166,0.128102552784587,-0.0554593977322637,"Stable"
"Spatula discors",83,0.0567589249899723,-0.116206472919259,0.229724322899203,-0.0221312806818423,"Stable"
"Sphyrapicus nuchalis",83,NA,NA,NA,NA,NA
"Sphyrapicus thyroideus",83,NA,NA,NA,NA,NA
"Spinus pinus",83,NA,NA,NA,NA,NA
"Spinus psaltria",83,0.052045728038508,-0.0898340963976568,0.193925552474673,-0.0173685477367718,"Stable"
"Spinus tristis",83,NA,NA,NA,NA,NA
"Spiza americana",83,0.0199558764540741,-0.312235569754194,0.352147322662342,-0.0409998892827275,"Stable"
"Spizella atrogularis",83,-0.245799816719261,-0.497449096549601,0.00584946311107856,0.118886244306768,"Stable"
"Spizella breweri",83,NA,NA,NA,NA,NA
"Spizella pallida",83,NA,NA,NA,NA,NA
"Spizella passerina",83,-0.00942639390292857,-0.0963090032263939,0.0774562154205368,-0.039494899443933,"Stable"
"Spizella pusilla",83,0.0286301644604893,-0.0576059874724883,0.114866316393467,-0.0216795971403814,"Stable"
"Stelgidopteryx serripennis",83,-0.0829823505816307,-0.407100547089817,0.241135845926555,-0.0296872566176973,"Stable"
"Sterna forsteri",83,-0.101985559566783,-0.465454741463616,0.261483622330051,-0.0273114496374616,"Stable"
"Sterna hirundo",83,0.502242152466374,-1.86630947168717,2.87079377661991,0.757847533632297,"Stable"
"Sternula antillarum",83,0.142900120336944,-0.057898585298361,0.343698825972248,0.0442455917882338,"Stable"
"Streptopelia decaocto",83,0.121089049338146,0.0168887517243933,0.225289346951899,0.159731442253181,"Increasing"
"Streptopelia roseogrisea",83,NA,NA,NA,NA,NA
"Strix varia",83,-0.00110308864821524,-0.0297904420622984,0.0275842647658679,-0.0413933789385053,"Stable"
"Sturnella lilianae",83,NA,NA,NA,NA,NA
"Sturnella magna",83,-0.416516245487366,-0.606457124181202,-0.226575366793531,0.437993585759852,"Decreasing"
"Sturnella neglecta",83,-0.838598074608904,-1.84198903832845,0.164792889110645,0.0732293747233905,"Stable"
"Sturnus vulgaris",83,0.00330926594464443,-0.105065363989567,0.111683895878856,-0.0414943090653832,"Stable"
"Tachybaptus dominicus",83,0.0252878023541593,-0.333891385501054,0.384466990209372,-0.0650677128408366,"Stable"
"Tachycineta bicolor",83,0.00790969761885191,-0.0766248405290667,0.0924442357667706,-0.0795942035498758,"Stable"
"Tachycineta thalassina",83,-0.0211543849817834,-0.344900341699201,0.302591571735634,-0.0888616736680383,"Stable"
"Thalasseus maximus",83,0.543730130695868,0.124671289209397,0.962788972182338,0.222088491218281,"Increasing"
"Thalasseus sandvicensis",83,3.01485482781918,-10.4360325189777,16.4657421746161,-0.139661979214792,"Stable"
"Thryomanes bewickii",83,-0.102637384677096,-0.235124679293583,0.0298499099393902,0.0586095486989381,"Stable"
"Thryothorus ludovicianus",83,-0.172131969514643,-0.292185955453624,-0.0520779835756606,0.23680023907853,"Decreasing"
"Toxostoma bendirei",83,NA,NA,NA,NA,NA
"Toxostoma crissale",83,0.0134100146542426,-0.028728548754087,0.0555485780625722,-0.0251575694073176,"Stable"
"Toxostoma curvirostre",83,-0.0146911351784997,-0.0442523571105626,0.0148700867535631,0.00207827852947517,"Stable"
"Toxostoma longirostre",83,0.0454773365423185,-0.0214114815768867,0.112366154661524,0.0373160697071894,"Stable"
"Toxostoma rufum",83,0.0170978740473324,-0.00789125802652386,0.0420870061211886,0.0382452720688081,"Stable"
"Tringa semipalmata",83,-0.0148916967509047,-0.28321162357305,0.253428230071241,-0.041097500111313,"Stable"
"Troglodytes aedon",83,-0.0835883395071681,-0.138236361624197,-0.0289403173901396,0.329255189486547,"Decreasing"
"Turdus grayi",83,NA,NA,NA,NA,NA
"Turdus migratorius",83,0.040363016446049,0.00152371571006349,0.0792023171820345,0.125888140671768,"Increasing"
"Tympanuchus cupido",83,NA,NA,NA,NA,NA
